Business Name,Last Updated,Address,Materials Accepted
Back Thru The Future Hard Drive Recycling Program,N/A,"(973) 823-9752, 1 Park Dr, Suite 9, Franklin, NJ 07416",Hard Drives
Barclay Enterprises T-Waste Recycling Program,N/A,"(800) 513-9962, Colton, CA 92324","Cell Phones, Telephones"
Best Buy Technology Recycling Box,N/A,",",Home Electronics
Big Green Box,N/A,"740-277-9957, 265 Quarry Road Southeast, Lancaster, OH 43130","Cell Phones, Laptop Computers, MP3 Players, Tablets, Alkaline Batteries, Lead-acid Batteries - Non-automotive, Lithium Batteries"
Brother Cartridge Collection Program,N/A,"(901) 379-1000â, Memphis, TN 38133","Inkjet Cartridges, Toner Cartridges"
BulbCycle,N/A,"(858) 412-6536, 7770 Regents Road, #113  Suite #547, San Diego, CA 92122","Tablets, CFLs, Fluorescent Tubes, Light Fixtures, Lighting Ballasts, Lithium Batteries, Lithium-ion Batteries"
"Buyback Boss -- Get paid for recycling smartphones, tablets and smartwatches",N/A,"602-813-0494, 450 N 54th St, Chandler, AZ 85226","Smartphones, Smartwatches, Tablets"
BuyMyTronics,N/A,"(303) 955-5554, 5855 Stapleton Drive N, Unit A-155, Denver, CO 80216","Cell Phone Accessories, Cell Phones, Digital Cameras, Game Consoles, GPS Systems, Laptop Computers, MP3 Players"
C&I Electronics,N/A,"(812) 423-9166, 1700 N Lafayette Ave, Evansville, IN 47711","Audio Equipment, Cables, Cell Phone Accessories, Cell Phones, Computer Peripherals - External, CRT Computer Monitors, Desktop Computers"
"Canon, Inc.",N/A,"5980 Industrial Drive, Gloucester, VA 23061","Inkjet Cartridges, Toner Cartridges"
Capstone Wireless,N/A,"(888) 226-6692, 10610 Metric Dr #178, Dallas, TX 75243","Cell Phones, Button Cell Batteries, Lithium-ion Batteries, Nickel-cadmium Batteries"
CartridgeFundraising.com,N/A,"(800) 594-4468, Rochester, NY 14609","Cell Phones, Inkjet Cartridges, Toner Cartridges"
Cartridges for Kids,N/A,"(800) 420-0235, Loveland, CO 80538","Cell Phones, Game Consoles, Inkjet Cartridges, Laptop Computers, Tablets, Toner Cartridges"
Cash For Smartphones,N/A,"(888) 821-1143, 84 Coney Island, Sparks, NV 89431",Cell Phones
CashforiPhones,N/A,"(888) 821-1143, 84 Coney Island, Sparks, NV 89431","Cell Phones, Laptop Computers, Tablets"
Castaway Technologies LLC,N/A,"(978) 208-4730, 57 Chase Street, Methuen, MA 01844","Desktop Computers, LCD Computer Monitors"
Castle Ink,N/A,"(800) 399-5193, 37 Wyckoff St, Greenlawn, NY 11740","Inkjet Cartridges, Toner Cartridges"
CD Recycling Center of America,N/A,"(603) 894-5553, 68 E Stiles Road, Salem, NH 03079","CDs, Cell Phone Accessories, Cell Phones, DVDs, Floppy Disks, Inkjet Cartridges, CD Cases"
Cell Funds,N/A,"(866) 874-6759, 14429 Ventura Blvd, Sherman Oaks, CA 91423",Cell Phones
Cell Phones for Soldiers,N/A,"(781) 588-2608, Norwell, MA 02061",Cell Phones
Cellucycle Cell Phone Recycling,N/A,"(503) 597-8516, 12562 SW Main St, Tigard, OR 97223",Cell Phones
Cellular Recycler,N/A,"(303) 258-8888, 4840 Sterling Dr. Unit A, Boulder, CO 80301",Cell Phones
"Chemwise, Inc.",N/A,"(419) 425-3604, 316 E Sandusky St, Findlay, OH 45840","Inkjet Cartridges, Medical Equipment - Large, Toner Cartridges, CFLs, Chemistry Sets, Clear Glass Beverage Containers, Ferrous Metals"
Coastal Recycling Centers,N/A,"(760) 636-4892, 42-280 Beacon Hill, Suite D-10, Palm Desert, CA 92211","Cell Phones, Inkjet Cartridges, Toner Cartridges"
CURE Recycling,N/A,"(404) 680-1043, Woodstock, GA 30188","Cell Phones, Digital Cameras, Inkjet Cartridges, Laptop Computers, MP3 Players, Tablets, Toner Cartridges"
Cyber Acoustics Bulk Headset Recycling program,N/A,"3109 NE 109th Ave, Vancouver, WA 98682","Audio Equipment, Computer Peripherals - External, Home Electronics"
Dell Global Recycling,N/A,"(888) 576-3818, Round Rock, TX 78682","Desktop Computers, Inkjet Cartridges, LCD Computer Monitors, Toner Cartridges"
Disc Replay,N/A,"630.627.9440, 1418 Butterfield Rd, Downers Grove, IL 60515","Blu-Ray Players, Calculators, CDs, Cell Phones, DVDs, Game Consoles, Laptop Computers"
Domesitc Violence Advocacy Program Emergency Cell Phone Collection,N/A,"(518) 664-8322, PO Box 30, Mechanicville, NY 12118",Cell Phones
e-Cycle LLC,N/A,"(877) 215-5255, 4105 Leap Road, Hilliard, OH 43026","Cell Phone Accessories, Cell Phones, Tablets"
e-Cycle LLC Headquarters,N/A,"(877) 215-5255, 7775 Walton Parkway, Suite 250, New Albany, OH 43054","Cell Phone Accessories, Cell Phones, Tablets"
e-Cycle LLC.,N/A,"(877) 215-5255, 4105 Leap Rd, Hilliard, OH 43026","Cell Phone Accessories, Cell Phones, Tablets"
ECO-CELL,N/A,"(888) 326-3357, 1726 Mellwood Ave, Louisville, KY 40206","Cell Phone Accessories, Cell Phones, Digital Cameras, Game Consoles, GPS Systems, Laptop Computers, MP3 Players"
ECOmm Recycling,N/A,"(352) 307-0023, Belleview, FL 34421","Cell Phone Accessories, Cell Phones"
EcoPhones Electronics Recycling,N/A,"(888) 326-7466, Dallas, TX 75220","Cell Phones, Inkjet Cartridges, MP3 Players"
eCycle B.E.S.T.,N/A,"(888) 634-4409, 994 Glendale Ave #1, Sparks, NV 89431","Cell Phones, Desktop Computers, Digital Cameras, Game Consoles, GPS Systems, Home Electronics, Laptop Computers"
eCycle Group,N/A,"(800) 416-5251, 416 Bryant Circle, Ste E, Ojai, CA 93023","Cell Phones, Inkjet Cartridges, Toner Cartridges"
Educational Assistance Limited,N/A,"(630) 690-0010, Glen Ellyn, IL 60138","LCD Computer Monitors, Household Furniture, Office Furniture, Scrap Metal, Tools"
Elarasys,N/A,"(800) 787-6364, 180 Corporate Dr, Elgin, IL 60123",Office Machines
Enviro Solutions,N/A,"(803) 629-3218, Lexington, SC 29071","Cell Phones, Inkjet Cartridges, MP3 Players"
EnviroSmart.org Mail In Program,N/A,"(804) 272-3281, 600 Montour Drive, Richmond, VA 23236","Cell Phones, Inkjet Cartridges, Toner Cartridges"
EraseMyLaptop,N/A,"(877) 257-2278, 427 Greenwich St, Philadelphia, PA 19147",Laptop Computers
EverLights,N/A,"877-934-9873, 1105 Stevenson Ct, Roselle, IL 60172","CRT Televisions, LCD Televisions, Office Machines, Paper Shredders, Printers, Small Appliances, Toner Cartridges"
Evolve Recycling,N/A,"(855) 933-8658, 380 East Bayfront Pkwy, Erie, PA 16507","Cell Phones, Digital Cameras, GPS Systems, Inkjet Cartridges, Laptop Computers, MP3 Players, Toner Cartridges"
Evolve Recycling,N/A,"(855) 933-8658, 2700 W Higgins Road, Hoffman Estates, IL 60169","Cell Phones, Digital Cameras, Inkjet Cartridges, Laptop Computers, MP3 Players, Toner Cartridges"
EWASTE+ Sony Mail-Back Program,N/A,"888-563-1340, 7318 Victor- Mendon Road, Victor, NY 14564","Blu-Ray Players, Cassette Players, CD Players, Computer Peripherals - External, Computer Peripherals - Internal, CRT Computer Monitors, CRT Televisions"
EZ on the Earth,N/A,"(855) 327-8455, Greenwood, IN 46143","Cables, Computer Peripherals - Internal, Desktop Computers, Hard Drives, Laptop Computers, Alkaline Batteries, Button Cell Batteries"
EZ-cycleÂ® Box,N/A,"(888) 720-0900, Newton, MA 02466","CDs, Cell Phones, Desktop Computers, Floppy Disks, Inkjet Cartridges, LCD Computer Monitors, LCD Televisions"
Floppydisk Recycle Program,N/A,"(714) 669-8301, 2620 Walnut Ave Unit D, Tustin, CA 92780",Floppy Disks
Folica Hair Dryer Recycling Program,N/A,"(888) 919-4247, Dayton, NJ 08810",Home Electronics
Full Circle Image,N/A,"(800) 584-7244, Rochester, MN 55901","Inkjet Cartridges, Toner Cartridges"
FundingFactory.com,N/A,"(888) 883-8237, Erie, PA 16507","Cell Phones, Digital Cameras, GPS Systems, Inkjet Cartridges, Laptop Computers, MP3 Players, Tablets"
GadgetGobbler.com,N/A,"(866) 319-3975, Aurora, IL 60506","Cell Phones, MP3 Players, Tablets"
Gazelle,N/A,",","Cell Phones, Desktop Computers, Laptop Computers, MP3 Players, Tablets"
Gizmogul,N/A,"1-866-784-2238, 6 Merchant St #5, Sharon, MA 02067","Cell Phones, Computer Peripherals - External, Computer Peripherals - Internal"
Gizmogul,N/A,"781-784-2238, 6 Merchant St. #5, Sharon, MA 02067","Cell Phones, Desktop Computers, Laptop Computers, LCD Computer Monitors, Tablets, Nickel-metal Hydride Batteries, Silver-oxide Batteries"
Global Re-Source Funding,N/A,"(866) 473-8446, 100 W 18th Ave, North Kansas City, MO 64116","Cell Phones, Digital Cameras, GPS Systems, Inkjet Cartridges, Laptop Computers, MP3 Players, Toner Cartridges"
GRC Wireless Recycling,N/A,"(800) 203-1506, 11067 NW 122ND STREET, Medley, FL 33178",Cell Phones
Green Buyback,N/A,"03479791945, 48 Bi State Plaza #101, Old Tappan, NJ 07675","Cell Phones, Game Consoles, Home Electronics, Laptop Computers, Tablets"
Green Hippo,N/A,"(805) 987-7000, 300 South Lewis Road, Suite K, Camarillo, CA 93012","Cell Phone Accessories, Cell Phones, Digital Cameras, GPS Systems, Inkjet Cartridges, MP3 Players, Pagers"
Green Project Inc,N/A,"(626) 961-2688, 15335 Don Julian Rd, Hacienda Heights, CA 91745","Inkjet Cartridges, Toner Cartridges"
